"Project Key","Issue Type","Summary","Description","Priority","Assignee","Labels","Epic Name","Epic Link","Sprint","Story Points","Depends On"
"STOCK","Epic","EPIC-01 Platform Hardening","Stabilize migrations, observability, and release safety before monetization rollout.","Highest","Backend Lead","phase0,platform,monetization-foundation","Platform Hardening","","Sprint 1","8",""
"STOCK","Story","SP1-01 Add migration framework and schema versioning","Implement migration runner, baseline schema version table, and rollback command.","Highest","Backend Lead","phase0,migrations","","EPIC-01","Sprint 1","5",""
"STOCK","Story","SP1-02 Add auth/stocks/webhook smoke tests","Add smoke tests for session auth, stocks endpoint, and payment webhook signature flow.","Highest","QA Engineer","phase0,qa,smoke-tests","","EPIC-01","Sprint 1","5","SP1-01"
"STOCK","Story","SP1-03 Add API and webhook monitoring","Create dashboards and alerts for API 5xx, webhook failures, and latency thresholds.","Highest","DevOps Engineer","phase0,observability","","EPIC-01","Sprint 1","3","SP1-01"
"STOCK","Story","SP1-04 Freeze event taxonomy and billing status enum","Define canonical event names, categories, and billing status transitions.","High","Product Manager","phase0,analytics,billing","","EPIC-01","Sprint 1","3",""
"STOCK","Story","SP1-05 Release checklist and rollback runbook","Document pre-release checks, rollback triggers, and incident response steps.","Medium","QA Engineer","phase0,release","","EPIC-01","Sprint 1","2","SP1-03"
"STOCK","Epic","EPIC-02 Billing Ledger Core","Create auditable subscription and transaction lifecycle before strict paywall activation.","Highest","Backend Lead","phase1,billing,monetization-core","Billing Ledger Core","","Sprint 2","13",""
"STOCK","Story","SP2-01 Create subscriptions collection and indexes","Create subscriptions schema, status lifecycle fields, and operational indexes.","Highest","Backend Engineer","phase1,billing,schema","","EPIC-02","Sprint 2","5","SP1-01"
"STOCK","Story","SP2-02 Create payment_transactions with idempotency","Store provider order lifecycle and enforce idempotency by order and provider transaction id.","Highest","Backend Engineer","phase1,billing,payments","","EPIC-02","Sprint 2","8","SP1-01"
"STOCK","Story","SP2-03 Persist pending transaction at checkout start","Write pending transaction record when checkout token is created.","Highest","Backend Engineer","phase1,billing,checkout","","EPIC-02","Sprint 2","5","SP2-02"
"STOCK","Story","SP2-04 Webhook updates transaction before plan upgrade","Update transaction status first, then apply plan change only for paid states.","Highest","Backend Engineer","phase1,billing,webhook","","EPIC-02","Sprint 2","8","SP2-02"
"STOCK","Story","SP2-05 Add plan_change_history","Record immutable plan transitions with reason, actor, and timestamp.","High","Backend Engineer","phase1,billing,audit","","EPIC-02","Sprint 2","3","SP2-04"
"STOCK","Story","SP2-06 Add billing admin read endpoints","Provide internal endpoints for pending, failed, settled transactions with filters.","Medium","Backend Engineer","phase1,billing,internal-tools","","EPIC-02","Sprint 2","5","SP2-04"
"STOCK","Epic","EPIC-03 Product Analytics Instrumentation","Capture event and session telemetry for conversion and retention analysis.","Highest","Data Lead","phase2,analytics,instrumentation","Product Analytics Instrumentation","","Sprint 3","13",""
"STOCK","Story","SP3-01 Add event ingestion endpoint with validation","Create ingestion API with schema validation and dead-letter handling.","Highest","Backend Engineer","phase2,analytics,events","","EPIC-03","Sprint 3","8","SP1-04"
"STOCK","Story","SP3-02 Add client tracking wrapper for core events","Implement reusable client tracker and emit core journey events.","Highest","Frontend Engineer","phase2,analytics,frontend","","EPIC-03","Sprint 3","5","SP3-01"
"STOCK","Story","SP3-03 Add server-side payment outcome events","Emit payment_succeeded and payment_failed from backend lifecycle events.","Highest","Backend Engineer","phase2,analytics,billing-events","","EPIC-03","Sprint 3","3","SP2-04"
"STOCK","Story","SP3-04 Add sessions model and identity stitching","Persist sessions and merge anonymous to authenticated identity after login.","High","Backend Engineer","phase2,analytics,sessions","","EPIC-03","Sprint 3","5","SP3-01"
"STOCK","Story","SP3-05 Build daily funnel aggregation job","Aggregate visit, upgrade click, checkout, and paid funnel per day and segment.","High","Data Engineer","phase2,analytics,aggregation","","EPIC-03","Sprint 3","8","SP3-01"
"STOCK","Epic","EPIC-04 User-Owned Data Features","Implement watchlists, saved screeners, and alerts to increase product stickiness.","Highest","Frontend Lead","phase3,features,retention","User-Owned Data Features","","Sprint 4","13",""
"STOCK","Story","SP4-01 Implement watchlists and watchlist_items APIs","Create CRUD APIs and data model for watchlists and items.","Highest","Backend Engineer","phase3,watchlist,api","","EPIC-04","Sprint 4","8","SP1-01"
